Date,VWAP
12/13/2022 1:30 AM,4027.532334
12/13/2022 1:31 AM,4027.538196
12/13/2022 1:32 AM,4027.551119
12/13/2022 1:33 AM,4027.567206
12/13/2022 1:34 AM,4027.579888
12/13/2022 1:35 AM,4027.59677
12/13/2022 1:36 AM,4027.610309
12/13/2022 1:37 AM,4027.620809
12/13/2022 1:38 AM,4027.629395
12/13/2022 1:39 AM,4027.637798
12/13/2022 1:40 AM,4027.658921
12/13/2022 1:41 AM,4027.674123
12/13/2022 1:42 AM,4027.697004
12/13/2022 1:43 AM,4027.711822
12/13/2022 1:44 AM,4027.758582
12/13/2022 1:45 AM,4027.777382
12/13/2022 1:46 AM,4027.792503
12/13/2022 1:47 AM,4027.824523
12/13/2022 1:48 AM,4027.846754
12/13/2022 1:49 AM,4027.871756
12/13/2022 1:50 AM,4027.889931
12/13/2022 1:51 AM,4027.89458
12/13/2022 1:52 AM,4027.904369
12/13/2022 1:53 AM,4027.909248
12/13/2022 1:54 AM,4027.912335
12/13/2022 1:55 AM,4027.914783
12/13/2022 1:56 AM,4027.920027
12/13/2022 1:57 AM,4027.925401
12/13/2022 1:58 AM,4027.932471
12/13/2022 1:59 AM,4027.934694
12/13/2022 2:00 AM,4027.989181
12/13/2022 2:01 AM,4028.070505
12/13/2022 2:02 AM,4028.19903
12/13/2022 2:03 AM,4028.265963
12/13/2022 2:04 AM,4028.294625
12/13/2022 2:05 AM,4028.296933
12/13/2022 2:06 AM,4028.278482
12/13/2022 2:07 AM,4028.261915
12/13/2022 2:08 AM,4028.206234
12/13/2022 2:09 AM,4028.159437
12/13/2022 2:10 AM,4028.108399
12/13/2022 2:11 AM,4028.077717
12/13/2022 2:12 AM,4028.059001
12/13/2022 2:13 AM,4028.046959
12/13/2022 2:14 AM,4028.017227
12/13/2022 2:15 AM,4028.004482
12/13/2022 2:16 AM,4027.990779
12/13/2022 2:17 AM,4027.98077
12/13/2022 2:18 AM,4027.97968
12/13/2022 2:19 AM,4027.977999
12/13/2022 2:20 AM,4027.96603
12/13/2022 2:21 AM,4027.962916
12/13/2022 2:22 AM,4027.952625
12/13/2022 2:23 AM,4027.943079
12/13/2022 2:24 AM,4027.936999
12/13/2022 2:25 AM,4027.927067
12/13/2022 2:26 AM,4027.915038
12/13/2022 2:27 AM,4027.898755
12/13/2022 2:28 AM,4027.887864
12/13/2022 2:29 AM,4027.880114
12/13/2022 2:30 AM,4027.870868
12/13/2022 2:31 AM,4027.849022
12/13/2022 2:32 AM,4027.84252
12/13/2022 2:33 AM,4027.838892
12/13/2022 2:34 AM,4027.807983
12/13/2022 2:35 AM,4027.780794
12/13/2022 2:36 AM,4027.752205
12/13/2022 2:37 AM,4027.717089
12/13/2022 2:38 AM,4027.694065
12/13/2022 2:39 AM,4027.669717
12/13/2022 2:40 AM,4027.655702
12/13/2022 2:41 AM,4027.650963
12/13/2022 2:42 AM,4027.649526
12/13/2022 2:43 AM,4027.644955
12/13/2022 2:44 AM,4027.642486
12/13/2022 2:45 AM,4027.627665
12/13/2022 2:46 AM,4027.609479
12/13/2022 2:47 AM,4027.58778
12/13/2022 2:48 AM,4027.574725
12/13/2022 2:49 AM,4027.564866
12/13/2022 2:50 AM,4027.552533
12/13/2022 2:51 AM,4027.544029
12/13/2022 2:52 AM,4027.53602
12/13/2022 2:53 AM,4027.513888
12/13/2022 2:54 AM,4027.487802
12/13/2022 2:55 AM,4027.451118
12/13/2022 2:56 AM,4027.430446
12/13/2022 2:57 AM,4027.41063
12/13/2022 2:58 AM,4027.393209
12/13/2022 2:59 AM,4027.386929
12/13/2022 3:00 AM,4027.389381
12/13/2022 3:01 AM,4027.390652
12/13/2022 3:02 AM,4027.395508
12/13/2022 3:03 AM,4027.393102
12/13/2022 3:04 AM,4027.388475
12/13/2022 3:05 AM,4027.387371
12/13/2022 3:06 AM,4027.389914
12/13/2022 3:07 AM,4027.394953
12/13/2022 3:08 AM,4027.404347
12/13/2022 3:09 AM,4027.434109
12/13/2022 3:10 AM,4027.461216
12/13/2022 3:11 AM,4027.494409
12/13/2022 3:12 AM,4027.500886
12/13/2022 3:13 AM,4027.502948
12/13/2022 3:14 AM,4027.50599
12/13/2022 3:15 AM,4027.511891
12/13/2022 3:16 AM,4027.524985
12/13/2022 3:17 AM,4027.529894
12/13/2022 3:18 AM,4027.54277
12/13/2022 3:19 AM,4027.553952
